period	words	title	genre	left	node	right	form	period_short
1900	senang	CJen.L 87:30	prose	Dan lihatlah oleh Tuanku rupa dan pakaian patik ini semuanya sudah berubah diberi oleh malaikat orang tua patik, kerana orang tua patik keduanya <phr>dikurniai</phr> Allah ta`ala <phr>tempat</phr>	<w type=“target”>kesenangan</w>	"<phr>di negeri akhirat</phr>."" Maka titah baginda, ""Jika demikian, adakah engkau mendengar khabar ayahanda dan bundaku yang telah mangkat itu?"" Maka sembah Si-Luncai, ""Bukannya ...."	nominalised	1900s
1930	senang	KSPB Yoh 11:13	prose	".......... ""Ya Rabbi, jikalau ia tertidur, sembuhlah ia kelak."" Adapun Yesus sudah mengatakan dari hal mati Lazarus, tetapi mereka itu menyangka bahwa Ia mengatakan dari hal"	<w type=“target”>kesenangan</w>	"<phr>tidur</phr>. Lalu berkatalah Yesus kepada mereka itu dengan terus terang, ""Lazarus sudah mati. Dan sukacitalah Aku karena kamu bahwa Aku tidak ada di sana, supaya kamu ........"	nominalised	1900s
1930	senang	KSPB 2Te 1:7	prose	kamu merasai sengsara; sedangkan pada pemandangan Allah menjadi adil membalaskan kesusahan kepada orang yang menyusahkan kamu, dan kepada kamu yang disusahkan itu <phr>membalaskan</phr>	<w type=“target”>kesenangan</w>	beserta dengan kami, pada masa Tuhan Yesus itu dinyatakan dari surga dengan segala bala tentara malaekatNya, dengan api yang bernyala, membalas atas segala orang yang ...	nominalised	1900s
1950	senang	Sikka 228	prose	.. haruslah kamu turut segala perintahnya, supaya senanglah hatinya, bila kamu tidak turut titahnya, selaku kamu menyakitkan hatinya. Sebab pangkat kapitan itu bukan satu <phr>pangkat</phr>	<w type=“target”>kesenangan</w>	, tetapi satu pangkat yang berat sekali. 1. Dia harus menjunjung segala perkara negeri dan memikul segala pekerjaan. 2. Dia harus menanggung segala perkara dalam jajahan .	nominalised	1900s
1820	senang	Tkbr 2:11	tracts_&_manuals	. hurufnya jīm, maka adalah akan alamatnya itu akan mendapat kemuliaan atasnya. Dan lagi jika mimpi daripada malam Sabtu dan hurufnya hā, maka adalah akan alamatnya akan <phr>mendapat</phr>	<w type=“target”>kesenangan</w>	daripada akhirat. WalLāhu a`lām. Dan lagi jika mimpi daripada malam Sabtu dan akan hurufnya khā, maka adalah alamatnya itu baik atasnya. WalLāhu a`lām. Dan lagi jika ....	nominalised	1800s
1820	senang	Tkbr 16:2	tracts_&_manuals	adalah akan alamatnya itu akan beroleh laba dengan perlahan-lahan atasnya. Dan lagi jika mimpi daripada malam Isnin dan akan hurufnya itu fā, maka adalah alamatnya akan <phr>mendapat</phr>	<w type=“target”>kesenangan</w>	daripadanya. Dan lagi jika mimpi daripada malam Isnin dan akan hurufnya itu qāf, maka adalah akan alamatnya itu akan beroleh kerugian atasnya. Dan lagi jika mimpi .......	nominalised	1800s
1820	senang	Tkbr 26:6	tracts_&_manuals	. maka adalah akan alamatnya itu akan susah adanya. Dan lagi jika mimpi daripada malam Arba` (maka adalah) dan hurufnya itu rā, maka adalah akan alamatnya akan <phr>beroleh</phr> rezeki dan	<w type=“target”>kesenangan</w>	atasnya. Dan lagi jika mimpi daripada malam Arba` dan akan hurufnya itu zāi, maka adalah akan alamatnya itu akan mendapat susah panjang adanya. Dan lagi jika mimpi ......	nominalised	1800s
1710	senang	Wrkh 7:1	letters_&_documents	........ yang meneguhkan setia muafakat dengan segala sahabatnya karib dan baid, ialah yang masyur wartanya kepada medan peperangan di laut dan di darat lagi <phr>dengan</phr> kemenangan dan	<w type=“target”>kesenangan</w>	, maka beta pinta kepada Allah subhanahu wa taala Tuhan segala alam lanjut umur dan banyak beroleh untung kebajikan lagi dalam sihat dan afiat. Kemudian daripada itu .....	nominalised	1700s
1780	senang	PRiau 7:8	letters_&_documents	. sembunyikan harta itu nanti dihukumkan dengan dia. 5. Fasal yang kelima. Daripada itu nanti dibagikan raja yang boleh dapat dia <phr>punya</phr> hormat dan perintah dengan kerajaan <phr>dengan </phr>	<w type=“target”>kesenangan</w>	<phr>kekal isti`adat</phr> selama2nya dan tinggal rumah tanggahnya serta harta(h) benda(h)nya itu. 6. Fasal yang keenam. Daripada orang Cina yang mau sudah tolong sama musuh kita ..	nominalised	1700s
1780	senang	PBanj 88:15	letters_&_documents	... dengan lagi kelihatan keenakan dengan kebaikan tanah Jawa(h) yang ada di bawah perintah Kompeni, sahaya ini beri tahu sahaya tiada kuat pegang sahaya <phr>punya</phr> kedudukan dengan	<w type=“target”>kesenangan</w>	lagi dengan lagi mencari kebaikan Banjarmasin dengan orangnya segala2. Ini surat daripada Ratu Anum Isma`il kita mengikut surat perjanjian Tuan Sultan Sulaiman ..........	nominalised	1700s
1790	senang	WSumB 1:22	letters_&_documents	.. Komandur baharu ini yang bernama Mester Filipus Johanes van der Steng,* dengan pertolongan Allah juga akan berdamai-damaian pada pihak <phr>mencari jalan yang kebajikan dan kepada</phr>	<w type=“target”>kesenangan</w>	kepada nagari dan kepada segala orang2 serta bagaimana ada keadaan perintah Tuan Komandur Cristian Hendrik van Eraf yang pulang itu pula adanya. Syahdan maka adalah .....	nominalised	1700s
1790	senang	WSumB 2:21	letters_&_documents	. itu akan menjadi komandur dalam Negeri Padang karena ia sangat sudah biasa juga kepada kami, rasa2nya akan boleh kami bertinjau2kan pada pihak <phr>mencari jalan yang</phr> kebajikan dan	<w type=“target”>kesenangan</w>	kepada nagari dan kepada segala rakyat2. Tetapi jikalau ada Tuan Gurnadur Jenderal suka dan rida akan mengangkat komandur dalam Nagari Padang, janganlah lama antaranya, .	nominalised	1700s
1790	senang	PBanj 150:5	letters_&_documents	..... sekalian raja2 dan menteri2 itu telah cukuplah ia serta menanggung mengikhtiarkan seboleh-bolehnya yang akan menjadi maslahat kebajikan dengan peliharaan yang <phr>medatangkan</phr>	<w type=“target”>kesenangan</w>	dan keringanan kepada sekalian rakyat2 Tuan Sultan pada tiap2 negeri dan desa2 itu seperti memeliharakan badannya sendiri supaya menjadi ramai pencarian orang2 kecil dan	nominalised	1700s
1790	senang	WBima L 3:7	letters_&_documents	... putih perintah dari Kompeni. Lagi pun, Paduka Raja Bima dengan amat kesukaan dijunjungnya perintah daripada Yang Maha Mulia akan menujukan jalan yang kebaikan, akan <phr>memberi</phr>	<w type=“target”>kesenangan</w>	kepada  Raja Bima dan Tanah Bima adanya. Syahdan lagi Paduka Raja Bima telah mendapat perintah daripada Tuan Gurnadur di Mangkasar sebab disuruh suatu kici akan dimuatkan	nominalised	1700s
1790	senang	SRN 47:1	letters_&_documents	........ India atas tanah Betawi, syahdan dilanjutkannya kiranya usia umur zamannya, maka dikekalkan Allah di atas martabat singgahsana kebesarannya dan kemuliaan, akan <phr>mencarikan</phr>	<w type=“target”>kesenangan</w>	dan kesentosaan sekalian orang yang ada bernaung di bawah zillullāh takhta kebesarannya dan kemuliaannya muzakar ad-dahar wa 'l-zaman dan segala hamba Allah yang ........	nominalised	1700s
1800	senang	SRN 49:4	letters_&_documents	..... kepada Tuan Jenderal dan segala Raad van India di Betawi sebab kami mendengar telah berdamailah tanah Welanda dan tanah Inggris daripada peperangannya, hubaya-hubaya <phr>beroleh</phr>	<w type=“target”>kesenangan</w>	sekalian orang kecil. Syahdan kami memberi maklum kepada Tuan yang maha mulia kepada selikur hari bulan Mei tahun 1802 maka kami berlayar ke Mangkasar bertemu [...] .....	nominalised	1800s
1800	senang	SRN 49:5	letters_&_documents	permulaannya datang kepada kesudahannya. Maka kami harap kepada Tuan Gubernur beserta dengan pengharapan kami kepada Kompeni, barang juga bicara kebajikan sepatutnya akan <phr>memberi</phr>	<w type=“target”>kesenangan</w>	tanah Selebes sertalah kami tetap kami pinta dengan beberapa boleh jangan apalah kiranya Tuan Gubernur menyudahkan pekerjaan itu kepada jalan yang memberi malu dan ......	nominalised	1800s
1810	senang	Wrkh 40:7	letters_&_documents	........ oleh raja dahulu-dahulu sudah beta kerjakan, dan beberapa belanja beta adakan menghasilkan segala kehendaknya. Maka tiada juga timbul kebajikan kepadanya dan tiada <phr>dapat</phr>	<w type=“target”>kesenangan</w>	dan tiada boleh lapas daripada kesusahan dan kesakitan yang tiada berputusan. Maka sebagai juga ia mencahari jalan hendak bubuh salah atas beta, serta tiada pula ia .....	nominalised	1800s
1810	senang	Minto 14	letters_&_documents	...... dan menyamun dan merampas dan membunuh orang, serta mengambili hartanya karena (maha) Maharaja itu asal dan perangainya baik, hanya dikehendakkan segala mereka itu <phr>di dalam</phr>	<w type=“target”>kesenangan</w>	dan kebaikan, senen tiasa di bawah benderanya. Maka hendaklah segala orang yang (a) ada bersahabat betul dengan orang Inggris, jangan melanggar Perangsis dan Belanda ....	nominalised	1800s
1810	senang	Minto 20	letters_&_documents	.... harganya melainkan ia membayar dengan emas perak wang yang betul. Maka segala orang yang suka membawak perbekalan dan ketolongan itu boleh ia <phr>melihat</phr> dan <phr>merasai</phr> kesukaan dan	<w type=“target”>kesenangan</w>	kepada kemendian harinya. Adapun siapa orang yang hendak beserta dengan Inggris boleh Maharaja Guwernur Jeneral menyuruh mengawalkan dan menjagakan tetapi hendaklah .....	nominalised	1800s
1810	senang	Minto 27	letters_&_documents	.. ia membalas sendirinya. Patutlah diingatkan bahwa Maharaja ini sudah berperiksa dengan segala menteri dan laksamana peri hendak <phr>mengaturkan segala kerja ini dengan</phr> kesukaan dan	<w type=“target”>kesenangan</w>	kepada segala Negeri Jawa. Maka itulah Maharaja Guwernur Jeneral memberi ingat kepada segala orang di dalam negeri daerah timur, mana yang ada bersahabat dengan Inggris .	nominalised	1800s
1810	senang	Wrkh 64:3	letters_&_documents	......... akan menyampaikan untung pada perbuatannya di Europa yang terlebih besar dengan negeri Holandah sudah didirikan serta menetapkan kembali negeri serta sudah berdamai dan	<w type=“target”>kesenangan</w>	<phr>di dalam</phr> dunia. Dan lagi kapan kita ingat daripada hak Inggeris sekarang sudah ada di tanah Jawa dan Madura lebih empat tahun serta ia bercampur tinggal dekat sama-sama .	nominalised	1800s
1810	senang	Wrkh 64:3	letters_&_documents	.. merasa dengan sebetulnya iaitu bagaimana rasanya kita sendiri. Dan lagi daripada hal akal besar kupernement Inggeris ia mau <phr>cari</phr> ketatapan sekalian negeri serta berdamaian dan	<w type=“target”>kesenangan</w>	<phr>antara</phr> sekalian orang, maka tuan Panembahan tentu boleh melihat yang perbuatan kita ada dengan peringatan dan pikiran hati yang adil dan kasihan. Dan lagi daripada hal ..	nominalised	1800s
1810	senang	Gold 17:2	letters_&_documents	... melainkan tuan Lubtenan Gapernur yang baharu nanti juga bicarakan yang baik2 kepada Gapernament yang lagi hendak menggantikan pada Gapernament sekarang pada hal kebajikan dan	<w type=“target”>kesenangan</w>	saya <phr>yang boleh dipeliharakan</phr> selama2nya. Maka di dalam Seri Paduka Tuan punya sayang hati dan tolong pelihara atas diri kita maka saya baik2 bilang terima kasih. Tiada .	nominalised	1800s
1810	senang	Gold 17:3	letters_&_documents	. hendak sahabat bersahabat selama2nya. Maka Seri Paduka Tuan mintak kepada Tuhan seru sekalian alam berilah saya tinggal baik dengan segala selamat serta <phr>mendapat</phr> kauntungan dan	<w type=“target”>kesenangan</w>	. Jika besok Seri Paduka Tuan dapat khabar yang saya sudah dapat bahagian akan yang demikian, niscayalah Seri Paduka Tuan baik suka hati yang tiada lagi tambahan. Maka ...	nominalised	1800s
1810	senang	SRN 8:4	letters_&_documents	jua dan terpeliharakan. Lagi yang tersebut dalam waraqat al-sharīfah itu sahabat saudara kita Sri Paduka Tuan Besar hendak membuat aturan yang beraturan akan <phr>memberi</phr> kebajikan dan	<w type=“target”>kesenangan</w>	atas kita dan anak kita dan kaum keluarga kita itu. Maka telah mufakatlah Paduka Tuan Komisaris dengan anak kita Paduka Tuan Sultan dan serta kita menghatur akan aturan .	nominalised	1800s
1820	senang	Farq 87:20	letters_&_documents	kepada hati kita melainkan Tuhan Allah juga yang mengetahuinya hati kita kepada ayahanda sahabat kita itu. Maka kita pohonkah kepada Tuhan azza wa-jalla barang diberinya <phr>tempat</phr>	<w type=“target”>kesenangan</w>	dan kesentosaan dan kebajikan selama-lamanya. Syahadan lagi sahabat kita nyatakan kepada kita yang sahabat kita minta kepada kita antara kita dengan sahabat kita ........	nominalised	1800s
1820	senang	Farq 89:21	letters_&_documents	......... daripada sudahnya itu melainkan Allah Taala juga yang mengetahuinya hati kita Yang Dipertuan itu. Maka kita pohonkan kepada Tuhan azza wa-jalla barang diberinya <phr>tempat</phr>	<w type=“target”>kesenangan</w>	dan kesentosaan dan kebajikan selama-lamanya. Syahadan kita nyatakan maka adalah pinta kita kepada sahabat kita hendaklah sahabat kita muafakat antara sahabat kita ......	nominalised	1800s
1820	senang	Farq 100:28	letters_&_documents	......... Jangan menjadi kecederaan kepada sekalian daerah tanah Johor ini. Syahadan boleh sahabat kita harap dan percaya gormen Inggeris itu sentiasa <phr>mengirakan</phr> keuntungan dan	<w type=“target”>kesenangan</w>	sahabat kita itu. Dan lagi kita punya pinta kepada sahabat kita, jika ada suka sahabat kita barang apa bicara boleh sahabat kita beri khabar kepada kita sebelum lagi ....	nominalised	1800s
1820	senang	Farq 105:10	letters_&_documents	minta kehidupan dan ketetapan, dan adalah darihal negeri Palembang tidak kita peduli. Apa juga dengan perintah sahabat kita Tuan Besar, asal kita dapat kehidupan dan <phr>ketetapan</phr>	<w type=“target”>kesenangan</w>	dengan segala rakyat kita. Haraplah kita semata-mata cinta kasih pertolongan sahabat kita Tuan Besar sama kita. Dan lagi adalah daripada hal kita dengan segala ..........	nominalised	1800s
1820	senang	Farq 106:17	letters_&_documents	... kita sekalian perkaranya. Syahadan daripada itu kita menyatakan kepada sahabat kita maka adalah tersebut dalam tulisan sahabat kita <phr>minta tolong</phr> kehidupan dan ketetapan dan	<w type=“target”>kesenangan</w>	serta dengan segala rakyat sahabat kita sekalian. Adalah seperti peminta sahabat kita itu sekali-kali tiadalah boleh kita memasuki bicara sahabat kita. Adalah sahabat ...	nominalised	1800s
1820	senang	WBrn 15:16	letters_&_documents	supaya bertambatan tali muafakat antara kita dengan sahabat kita, maka dipohonkan ke hadrat Tuhan azzawajalla barang dilanjutkan jua kiranya usia umur zamannya serta <phr>bertambah2</phr>	<w type=“target”>kesenangan</w>	dan ke[b]ajikan <phr>di dalam</phr> sihat dan afiat selama-lamanya āmīn thumma āmīn. Wabadahu daripada itu barang mafhum kiranya sahabat kita perihal kita melayangkan sahifat al-...	nominalised	1800s
1820	senang	WBrn 15:25	letters_&_documents	..... dalamnya, telah menerima kasih kita banyak2 daripada mendengar sahabat kita di dalam sihat dan afiat. Maka senantiasa kita minta doa barang <phr>dikekalkan jua kiranya di dalam</phr>	<w type=“target”>kesenangan</w>	selama-lamanya. Syahadan bahawa adalah kita menyuruhkan Pengiran Tajuddin dan Anahoda Hasanuddin dan Anahoda Jalaluddin dengan sebuah perahu yang kecil mendapatkan ......	nominalised	1800s
1820	senang	WBrn 16:12	letters_&_documents	... kasad dan maksud segala kerabatnya bayn al-qarīb wa-al-ba`īd, mudah-mudahan dilanjutkan Tuhan Al[l]ah al-Rahman usyia umur zamannya di dalam sihat dan afiat serta <phr>bertambah2</phr>	<w type=“target”>kesenangan</w>	, barang dikekalkan kiranya di dalam tā`at Allāh wa rasūlih āmīn thumma āmīn . Wabadahu daripada itu barang maklum kiranya sahabat kita perihal kita melayangkan warkat al-	nominalised	1800s
1820	senang	SRN 9:5	letters_&_documents	di dalam dunia, maka senantiasa harap tulus ikhlas cinta sayang Sri Paduka Guvernement van Nederland yang bangsawan juga jadi pengharapan kita semata-mata pada <phr>jalan</phr> kebajikan dan	<w type=“target”>kesenangan</w>	hingga sampai kepada waris kita yang muta´akhkhirin senantiasa ganti-berganti di bawah pernaungan Sri Paduka Gupernement van Nederland India adanya. Tambahkan pula dari .	nominalised	1800s
1820	senang	SRN 11:4	letters_&_documents	.. yang sepenuh-penuh, tolong daripada Sri Paduka Yang Dipertuan Besar. Sebermula perkara yang tersebut di dalam waraqat al-musyyrikah aturan yang baharu ini <phr>memberi</phr> kebajikan dan	<w type=“target”>kesenangan</w>	atas saya dan sekalian Raad negeri Palembang. Maka mufakatlah Paduka Tuan Komisaris dengan saya serta Sri Paduka Ayahanda mengatur dari aturan maksud yang memberi faedah	nominalised	1800s
1820	senang	SRN 11:4	letters_&_documents	.... atas saya dan sekalian Raad negeri Palembang. Maka mufakatlah Paduka Tuan Komisaris dengan saya serta Sri Paduka Ayahanda mengatur dari aturan maksud yang memberi faedah jadi	<w type=“target”>kesenangan</w>	<phr>atas</phr> saya dan kaum keluarga saya serta sekalian isi negeri akan sekarang telah selesailah dari aturan yang kebajikan itu, maka saya dan Sri Paduka Ayahanda dengan kaum ..	nominalised	1800s
1820	senang	SRN 11:6	letters_&_documents	dalam dunia ini. Maka sentiasa harap tulus ikhlas cinta sayang Sri Paduka Gupernement van Nederland yang bangsawan juga jadi pengharapan saya semata-mata pada <phr>jalan</phr> kebajikan dan	<w type=“target”>kesenangan</w>	hingga sampai kepada zuriat saya yang muta´akhkhirin sentiasa di bawah naungan Sri Paduka Gupernement van Nederland India. Dan lagi dari hal surat ini saya serahkan .....	nominalised	1800s
1820	senang	SRN 29:1	letters_&_documents	.. van der Capellen, Gurnadur Jenderal yang memerintah atas segala tanah India Nederland yang ada duduk bersemayam di atas takhta kerajaan dan kebesaran serta <phr>dengan</phr> kemuliaan dan	<w type=“target”>kesenangan</w>	<phr>di dalam</phr> negeri Betawi, dan segala daerah negeri takluk kepadanya serta lagi ialah yang kuasa memerintahkan segala tanah Jawa sekalian. Syahdan ialah yang bangsawan dan .	nominalised	1800s
1820	senang	SRN 35:1	letters_&_documents	.... yang amat cemerlang pada c.r.m bulan maka masyhurlah namanya pada segala negeri-negeri dan serokan-serokan adanya. Maka tatkala kita dengar bahwa adalah sahabat kita <phr>di dalam</phr>	<w type=“target”>kesenangan</w>	dan kebajikan serta sehat dan afiat itu maka terbukalah pintu hati kesukaan kita serta dipohonkan kiranya, mudah-mudahan bertambah-tambah pula pangkat ketinggiannya .....	nominalised	1800s
1820	senang	SITS 314:8	letters_&_documents	. segala tuan2 dibawahnya yang bangsa Gubernemen Nederland, maka bermusyawarat kedua fihak itu atas jalan kebajikan antara Guberneman Nederland dengan fihak Johor daripada fihak	<w type=“target”>kesenangan</w>	<phr>negri</phr> dan rakyat2 dan segala dagang2 yang masuk keluar. Maka dengan tolong seru sekalian `alam mana yang diletakkan diterimalah dan yang diperintahkan oleh tuan raja ....	nominalised	1800s
1820	senang	SITS 330:5	letters_&_documents	... bercinta hendak melakukan kebaktian kepada Gubernemen dengan baik siasatnya kepada segala tempat dengan suka musyawarat bertanya kepada segala jalan yang boleh jadi baik dan	<w type=“target”>kesenangan</w>	Gubernemen serta beberapa kali berjumpa dengan kita bermusyawarat akan fihak orang yang jahat2 di laut2 jalan yang boleh menghilangkan dan jalan antaranya dan antara ....	nominalised	1800s
1820	senang	SITS 348:46	letters_&_documents	. Johor, dan adalah kita Tengku Said pada masa itu ada hadir dalam negri Riau maka kita pandang daripada fihak Guburnemen Nederland semata2 menghendaki <phr>jalan</phr> yang kebajikan dan	<w type=“target”>kesenangan</w>	dengan bersungguh2 berkehendak kepada memelihara dan demikian lagi daripada fihak Johor sangatlah suka dan rela mengabulkan dengan menerima atas yang demikian itu akan ..	nominalised	1800s
1820	senang	Gold 16:1	letters_&_documents	.... segala hamba alat yang kepanasan bernaung dibawahnya. Maka dipohonkan atasnya barang dikekalkan pangkat yang kebesaran serta berlanjutkan dari pada usia umur zamannya dengan	<w type=“target”>kesenangan</w>	<phr>di dalam<phr> dunia ini jua adanya. Wa-badahu dari pada itu barang maklum kiranya hal surat Seri Paduka Yang Dipertuan Besar itu telah sampailah kepada saya dengan ...........	nominalised	1800s
1820	senang	SRN 28:2	letters_&_documents	...... sepohon kayu yang besar segala hamba tahan bernaung di bawahnya. Maka dipohonkan atasnya barang kekalkan pangkat yang kebesaran serta berlanjutkan dari umur zamannya dengan	<w type=“target”>kesenangan</w>	<phr>di dalam</phr> dunia ini yang selagi ada duduk di negeri Yogyakarta Adiningrat adanya. Wa ba`dahu kemudian daripada itu maka adalah saya mengunjukkan sepucuk surat ini ke .....	nominalised	1800s
1820	senang	SRN 31:2	letters_&_documents	...... segala hamba Allah yang kepanasan bernaung di bawahnya. Maka dipohonkan atasnya yang dikekalkan pangkat yang kebesaran serta berlanjutkan daripada usia umur zamannya dengan	<w type=“target”>kesenangan</w>	<phr>di dalam</phr> dunia ini yang selagi ada di negeri Surakarta jua adanya. Wa ba`dahu kemudian daripada itu, barang maklumlah kiranya hal dari surat Sri Paduka Tuan Besar yang ..	nominalised	1800s
1820	senang	SRN 32:1	letters_&_documents	........ dan kemuliaan yang senantiasa adanya, yaitu daripada kita Tuan Lodewijk Karel Graaf van Ranzow yang terhormat asisten residen yang bertakhta kerajaan dan kebesaran dengan	<w type=“target”>kesenangan</w>	<phr>di dalam</phr> daerah kantor negeri Sumeneb, maka barang disampaikan Tuhan kita seru sekalian alam datang ke hadapan majelis pihak derajat sahabat kita Sri Paduka Yang ........	nominalised	1800s
1820	senang	SRN 32:1	letters_&_documents	.. dan kebesaran serta pemerintah atas sekalian rakyat dengan istirahat al-khair di dalam daerah negeri Riau dār as-salām, ialah yang <phr>mempunyai</phr> pangkat martabat yang kemuliaan dan	<w type=“target”>kesenangan</w>	, syahdan yang amat murah dan penyayang serta limpah makmur barang hal budi bicara yang lemah lembut lagi menyempurnakan hajat daripada handai taulannya qarīb dan ba`īd ..	nominalised	1800s
1820	senang	SRN 32:5	letters_&_documents	... surat, maka tiada boleh jadi. Kita rasa Tuan Komisaris Jenderal yang bikin gelap di atasnya, karena itu surat ada berfaedah besar pada kita. Maka itulah jikalau <phr>ada</phr> ringan dan	<w type=“target”>kesenangan</w>	serta kerinduhan hati dengan izin rida sahabat, maka kita harab pada sahabat akan kirim turunannya itu surat seperti yang dahulu ditulis kertas perada dan bersamaan .....	nominalised	1800s
1840	senang	SRN 20:2	letters_&_documents	....... perintahan serta mahkota kerajaan Welanda kepada putranya yang tua yaitu Prins van Oranye karena berkehendaklah Baginda Maharaja sebab umurnya hampir 69 tahun akan <phr>beroleh</phr>	<w type=“target”>kesenangan</w>	dengan terlepas daripada barang kesukaran perintahan selagi hidupnya di dalam dunia ini. Adapun oleh karena itu pada waktu yang tersebut bahwa dengan amat `azīmnya maka .	nominalised	1800s
1840	senang	Wrkh 85:2	letters_&_documents	........ sukacita hati sahaya sebab menengar ada tuan menyalin kisah pelayaran sahaya itu dalam bahasa Peransis, supaya masyhurlah nama tuan dengan nama sahaya, dan boleh menjadi	<w type=“target”>kesenangan</w>	<phr>kepada</phr> segala tuan-tuan orang Peransis yang hendak belajar bahasa Melayu adanya. Dan lagi seperti perkataan yang bulum tuan mengerti yang dibawa oleh Tuan Rey itu pun ...	nominalised	1800s
1860	senang	PBanj 268:24	letters_&_documents	perang sabil. Tetapi sebetulnya melanggar aturan igama yang begitu tentu dan terang bunyinya dan dangan menyampaikan keinginan dan mencari kehormatan dirinya sudah <phr>merusakkan</phr>	<w type=“target”>kesenangan</w>	dan kesentosaan <phr>dari</phr> satu negeri. Maka sekalian hal ihwal itu menjadikan gupernemen Hindia Nederlan yang senantiasa sabar di dalam hal orang yang sesat ingatan tetapi ...	nominalised	1800s
1860	senang	VdW HI 22:2	letters_&_documents	§ Qauluhu 'l-Haqq. Salam takzim datang ke hadirat al-aziz paduka sahabat sahaya tuan Von de Wall asisten residen yang ada pada masa ini dengan	<w type=“target”>kesenangan</w>	serta sehat wal-afiat <phr>di dalam</phr> bandar Betawi Darulmasyhur yang sangat diharap di dalam umur yang lanjut serta bertambah-tambah kebajikan di dalam selamat `ala 'l-dawam. .	nominalised	1800s
1860	senang	VdW HI 27:2	letters_&_documents	paduka tuan H. Von de Wall yang ada di dalam bandar Betawi Darulmasyhur yang amat diharap barang lanjutkan daripada usia umur zamannnya di dalam <phr>bertambah-tambah</phr> kemuliaan dan	<w type=“target”>kesenangan</w>	<phr>di dalam</phr> sehat dan afiat `ala 'l-dawam. Wabaadahu daripada itu maka adalah sahaya permaklumkan darihal surat percakapan raja-raja beranak itu maka tengah sahaya buatkan .	nominalised	1800s
1870	senang	VdW RAH D8:2	letters_&_documents	....... hal kami pada pekerjaan rumah akan tempat bekerja dan mengaji serta pekakas tab` itu harap akan gubernemen itu mengaruniakan itu, yaitu atas dua perkara. Pertama, jadi	<w type=“target”>kesenangan</w>	<phr>atas</phr> kami, tiada jadi kesakitan barang suatunya. Kedua, sekira-kira menjadi nama kemuliaan dan faedah kepada gubernemen, serta berhamburan nama itu kepada raja-raja .....	nominalised	1800s
1900	senang	WTgn 7 855:23	letters_&_documents	..... raja, supaya berhimpun segala hati pada bawah perintahan dan aturan yang mahmud pada syarak dan adat yang memudahkan bagi terdiri agama Islam. Dan <phr>mendatangkan</phr> imam dan	<w type=“target”>kesenangan</w>	<phr>pada</phr> mencari kehidupan. Maka atas hikmat inilah bersungguh-sungguh segala anbia´ dan khulafa´ yang rasyidin, mengaturkan ehwal al-`ibad pada pekerjaan ma`asy dan mi`ad. .	nominalised	1900s
1900	senang	WTgn 8 857:34	letters_&_documents	.... kedaifan kerajaan kita [...]* Barang menolongi oleh Rabbu'l-`izzati akan sa`adah seri paduka anakanda dengan pertolongan yang melengkapi ia, bakal <phr>kedatangan</phr> sentosa dan	<w type=“target”>kesenangan</w>	bagi usia diri seri paduka anakanda dan segala yang hati seri paduka anakanda, daripada ahl al-bait dan ahl al-balad, daripada tiap-tiap yang memberi kelu[h]-kesah pada .	nominalised	1900s
1900	senang	Imam 313:23	newspapers	....... rakyatnya hanyalah semata-mata tumpu fikiran dan ingatan mereka itu kepada barang yang memuaskan hatinya dan hawa nafsunya dan yang membesarkan namanya dan yang <phr>memberi</phr>	<w type=“target”>kesenangan</w>	dirinya dan mengelokkan tempat kediamannya. Sebab, yang demikian terbitlah daripada mereka itu kezaliman yang tiada dapat terperikan. Terbit daripadanya cukai yang bukan-	nominalised	1900s
1900	senang	Imam 317:5	newspapers	....... [guru yang sempurna] yang memberi nasihat akan dia pada ketika segala bangsa yang asing telah melingkungi akan segala masalah kita dan telah mengepung mereka itu. <phr>segala</phr>	<w type=“target”>kesenangan</w>	kita. Hampir dimilikinya sama sekali jikalau tidak ada kita memanjangkan angan-angan yang ditarik oleh elok sangka kepada barang yang akan datang apabila kita bersungguh-	nominalised	1900s
1900	senang	Imam 322:23	newspapers	.... barang siapa mengambil akan dia atas hamparannya yang, dahulu daripada al-Quran dan Hadis yang sahih nescaya <phr>mendapatlah</phr> ia daripadanya penyudahan-penyudahan kemurahan dan	<w type=“target”>kesenangan</w>	. Fikiran kami tiada lazim kami lanjutkan perkataan di sini akan tetapi kami berjanji akan memberi kenyataannya kelak bagi barang siapa menuntut keterangannya daripada ...	nominalised	1900s
1900	senang	Imam 324:26	newspapers	.... barang-barang Jepun daripada barang-barang sekalian bangsa. 2. Menyukailah mereka itu bergurukan Jepun daripada berguru kepada lain bangsa. 3. Menyertailah mereka itu akan	<w type=“target”>kesenangan</w>	dan kesusahan Jepun. 4. Membenarkan tiap-tiap kanun kerajaan bagi Jepun mencampuri dan memasuki ehwal kesusahan saudaranya. 5. Menambahi sekalian itu bagi Jepun hebat ...	nominalised	1900s
1900	senang	Imam 341:19	newspapers	di dalam kemiskinan dan kepapaan dan kesusahan dan kehinaan dan kehilangan pemerintahannya dan kebesarannya di antara segala bangsa yang lain <phr>mengumpulkan</phr> dan <phr>mempunyai</phr> <phr>segala</phr>	<w type=“target”>kesenangan</w>	<phr>yang di dalam tempatnya</phr>. Padahal mereka itu melihat akan dia dengan suka menerima dan mengambil bahagian daripada pilihannya sahaja. Apakala ditanya ulamanya akan .......	nominalised	1900s
