period	words	genre	title	citation	syntax	form
1940s	bahagia	newspapers	PK 180:5b	.. awang-awangan , serta menerusi sudut pujangga ; menggerakkan kalbu Melayu raya , supaya bersama berbimbing tangan | bersama melangkah meningkat tangga , untuk menaikimahligaibahagia. | Percaturan zaman hampir beredar , suara serunaiku makin melangsing ; darah mudaku makin gembira , bangsaku sudah insaf dan sedar ; desak himpitan si bangsa asing , di ...	nominal	root
1940s	bahagia	newspapers	PK 202:2a §	Lambaian Jiwa:oleh Ngumba : Oh pemuda! Wahai pemudi!! , mari kita berikat jiwa ; mari bersama mengasuh budi , agar bangsa tidak kecewa! | Di sana, nun! Dipantaibahagia, nampaknya tuan jiwaku melambai ; menjemput teman berikat setia , mengorban diri jangan diabai! | Sambil melambai aku menyanyi , mengirim sembahan kepada bayu ; adakah ....	nominal	root
1940s	bahagia	newspapers	PK 264:1b	§Kumas:oleh Mas :K Kemudikanlah bahtera Melayu ,kepantaibahagia segeralah tuju , kebangsaan kita takkan layu , kiranya bahtera berjalan laju. |W Wartawan Melayu kelasi terpuji , waras akalnya boleh diuji , wirakan bangsa sentiasa ......	nominal	root
1940s	bahagia	newspapers	PK 300:1b	§Berjuanglah Wahai Penganjur:oleh Ngumba : Berjuanglah tuan, wahai penganjur bangsaku Melayu , memimpin umat, ketamanbahagia, selamat dirgahayu , cubalah jampi, pulih hidupkan semangat yang kuyu , dan, kembangkan kembali, bunga kebangsaan yang telah layu! | Tuanlah wahai penganjur! Harapan umat ..	nominal	root
1940s	bahagia	newspapers	PK 301:2c	....... tenaga baharu , untuk memenuhi tubuh dan hawa ; mencinta Malaya tanahairku , tempat berjuang sukma dan jiwa. | Tanah Malaya tanahairku , tumpah darah tanah semati ;tanahbahagia untuk bangsaku , makam pujaan sukma dan hati. | Oh Semenanjung tanah yang cantik , permai hidupmu di dalam bahagia ; pujaan sukma setiap detik , di bawah langit tanah yang .	nominal	root
1940s	bahagia	newspapers	PK 301:3b	.| Tanah Malaya tanahairku , tumpah darah tanah semati ; tanah bahagia untuk bangsaku , makam pujaan sukma dan hati. | Oh Semenanjung tanah yang cantik , permai hidupmu di dalambahagia; pujaan sukma setiap detik , di bawah langit tanah yang mulia. | Harapanku oh Semenanjung , bahagialah hidupmu di dalam aman ; biar budimu rata dikunjung , di hati rakyat .	nominal	root
1940s	bahagia	newspapers	PK 301:6b	.....| Biarpun kini ribut ulangan , kelam melewat tanahairku ; aku menunggu di pinggir zaman , kembali kemegahan tumpah darahku. | Engkaulah oh! bumi yang indah!! , tanah putera bahagia baka!1 ; engkaulah bumi tanah penyudah!! , tempat berjuang menebus merdeka!! | Di zaman silam beta terangan , tumpah darahku cemerlang cahaya ; bilakah nusa kembali ........	non-nominal	root
1940s	bahagia	newspapers	PK 301:8c	... terangan , tumpah darahku cemerlang cahaya ; bilakah nusa kembali gerangan , sebagai dahulu megah dan mulia. | Tanah Malaya! Tanah Malaya!! , tanahairku! tanahairku!! ;tanahbahagia! tanah bahagia!! , tanah bangsaku! tanah bangsaku!! |§	nominal	root
1940s	bahagia	newspapers	PK 301:8c	...... darahku cemerlang cahaya ; bilakah nusa kembali gerangan , sebagai dahulu megah dan mulia. | Tanah Malaya! Tanah Malaya!! , tanahairku! tanahairku!! ; tanah bahagia! tanahbahagia!! , tanah bangsaku! tanah bangsaku!! |§	nominal	root
1940s	bahagia	newspapers	PK 326:1d §	Ayuhai Watanku:oleh M. Nurani : Ayuhai watanku! Semenanjung Malaya , tanah menzahirkan aku menjelma ; bumi yang sama makmur dan kaya ,hidupbahagia seumum sama. | Ayuhai watanku! Semenanjung yang permai , mengandungi umat berbagai bangsa ; hidup sejahtera aman dan damai , tetapi sebaliknya Melayu tergesa. | Ayuhai .....	non-nominal	root
1940s	bahagia	newspapers	PK 326:7d	tampillah kita di perjuangan hidup , di medan masyarakat kita bermaruah. | Aduhai watanku! Yang aman saujana , cantik dan permai serta hebat ; kota kemajuan segera dibina ,mutubahagia segera dihambat. | Ayuhai watanku! Malaya negeri , tanah menzahirkan umat jelata ; di masyarakat hidup segera hampiri , mudah-mudahan hasil maksud dicita. | Ayuhai watankui	nominal	root
1940s	bahagia	newspapers	PK 326:9b	....... Malaya negeri , tanah menzahirkan umat jelata ; di masyarakat hidup segera hampiri , mudah-mudahan hasil maksud dicita. | Ayuhai watankui Malaya desa , tanah tempat hidupbahagia; sementara jasad lagi sentosa , marilah kita taat dan setia. | Ayuhai watanku! Tanah yang mulia , kaya makmur lagipun subur ; ayuhai kaum perawan dan belia , cita-cita ....	non-nominal	root
1940s	bahagia	newspapers	PK 330:6d	.. hidup ; biarpun nun ke lautan duri , walaupun cuaca hampirkan redup. | Marilah bangsaku selatan utara , bersatu kata bekerjasama ; jalan kemajuan berjuang mara , mudah-mudahan bahagiahidup saksama. | Marilah bangsaku Melayu rasa , kita bersatu untuk kemajuan ; di masyarakat hidup berjuang mara , mudah-mudahan bertemu mutu ketinggian. | Marilah bangsaku .	non-nominal	root
1940s	bahagia	newspapers	PK 330:9b	...... kita bersatu , untuk jalan kesatuan bangsa ; keraskan tenaga berhati batu , cekap dan cekal serta perkasa. | Marilah bangsaku janganlah gubar , menuntut pusaka yang sangat bahagia; panji kebangsaan sedang berkibar , kita berperang taat dan setia. | Marilah bangsaku kamu perawan , berdamping sama janganlah tinggal ; bertaat setia bersetiawan , sama ..	non-nominal	root
1940s	bahagia	newspapers	PK 330:13b	.... langkah , setapak ke setapak maju ke hadapan ; masuk ke dalam golongan masyarakat , untuk cahaya gemerlapan! | Marilah bangsaku kita nan mara , berjuang di medan masyarakatbahagia, timur barat selatan utara , di sekitar penjuru di Semenanjung Malaya. |§	non-nominal	root
1810s	bahagia	verses	Maul 1098c	.. dikurniakan Nabi Muhammad , arif dan bijak terlalu amat , pandai memelihara segala ummat | Ialah nabi khatam al-anbia , dikurnia Allah Tuhan yang kaya , taufik hidayat limpahbahagia, jadilah ismunya terlalu mulia | Barang tempat ismunya berdiri , sampailah atar bau kesturi , terbukalah hijab cemerlang seri , tak dapat tiada tentu diberi | Perkataan ...	nominal	root
1810s	bahagia	verses	Maul 1100d	bau kesturi , terbukalah hijab cemerlang seri , tak dapat tiada tentu diberi | Perkataan ini beribarat , kala di dunia kala di akhirat , atur ismunya terlalu berat ,padajalanbahagia sudah tersurat | Inilah 'ain yang melajak , atur ismu tampaklah bijak , kisah yang sukar menjadi sajak , cobalah pikir berajak-ajak | Patutlah kita sekalian ummat , membaca	nominal	root
1820s	bahagia	verses	Ungg 31r 4b |	Tiung menyahut merdu suara , Mengapa begitu kata saudara , Sekedarkan itu hamba terkira , Rukun syahadat empat perkara | Bertanya pula murai yang mulia , Kepada tiung unggasbahagia, Yang empat itu mana-mana dia , Berilah tahu kepada sahaya | Kepada Merak Tiung menyapa , Jawablah pula olehnya bapa , Ayahanda jangan tersalah tampa , Yang empat itu mana-	non-nominal	root
1860s	bahagia	verses	BayB 13r 4d	............ taubat sudah , Tauhid ma`rifat tidak dibawa(h) , Di dalam akhirat sangat kecewa | Nuri mengucap astagfirullah , Wa tauba taubat alaika , Itulah akal orang celaka ,Bahagiadi dalam api neraka | Malik al maut hadir menanti , Mengambil nyawa(h) berganti-ganti , Burung Jelatik seraya bersabda , Janganlah segera orang yang muda | Jikalau tidak ...	non-nominal	root
1860s	bahagia	verses	Kmt 2:8b	. kita tersalah sangka , Bukannya dunia negeri yang baka , Sekadar 'kan berhenti kita seketika , Akhirnya itu berpindah juga | Seumpama dagang kita di dunia , Untung, piutangakanbahagia, Sampai musim pulanglah dia , Ke negeri yang baka, tempat yang mulia | Hendaklah banyak membawa dagangan , Di negeri akhirat jadi kemenangan , Di sanalah menerima utang-...	non-nominal	root
1880s	bahagia	verses	RIJ 19d	... sekalian mara bahaya , daripada raja yang amat mulia. | Daulat tuanku raja yang mulia , bertambah2 daulat di atas takhta , diberkatkan Tuhan azzawajalla , akan jubili yang amatbahagia. | Sekalian bangsa bersatu pakat , menjunjung titah bersyarikat , dengan kesukaan kita berpakat , memuji Seri Maharaja Puteri yang izzat. |§§	non-nominal	root
1890s	bahagia	verses	SSiti 115:4c	.. juga , Atau bertuah atau celaka , Janganlah lagi syak dan sangka , Barang yang dikata hamba pun suka. | Janganlah tuan hamba takut berkata , Di dalam nujum lihatlah nyata ,Bahagia celakakah anaknya kita , Percayalah hamba apa yang dikata. | Demi nujum mendengarkan titah , Keenamnya tunduk seraya menyembah , Ampun tuanku seri khalifah , Patik .........	non-nominal	root
1890s	bahagia	verses	PSL 13:5a	, kudanya hebat muda seksama | Ketika itu mahkota negeri , sedang memakai menghiasi diri , Wajahnya manis berseri-seri , cemerlang cahaya cincin di jari | Selesai memakai Sultan bahagia, pengiringnya tuan hakim yang setia , Raja Zainal bersama sahaya , mengiring juga bersuka ria | Sebuah kereta duli tuanku , sepringnya halus bersiku-siku , Buatan Eropah ..	non-nominal	root
1890s	bahagia	verses	SAB 67:2d	.. ada brenti , Bahasa Enggris pandeilah pasti | Toean Keasberrij itoe seperti aulia , Toean Allah sangat saijangkan dia , Soeda berkatkan jang maha moelia , Mendjadi Sultan jangbahagia| Dia tiada sakit datang digredja itoe , Sedang dia sembaijang wafat disitoe , Heiran lah orang boekan swatoe , Bloem pernah kematian jang begitoe | Waktoe dikoeboerkan ....	non-nominal	root
1910s	bahagia	verses	Raksi 107b	.... lima belas hari bulan nyata , Selamat sempurna pekerjaan kita , Dihilangkan tuhan hati bercinta , Demikian itu syarahnya berkata | Kejadian kanak-kanak ketika itu ,Berolehbahagia nyatalah tentu , Dengan kurnia tuhan yang satu , Penyakit terlambat sembuh begitu | Pada enam belas hari bulannya , Tiada baik sebarang kerjanya , Nanti dahulu di belakang .	nominal	root
1930s	bahagia	verses	TZA 1.35c	.. ulama yang ada sekalian ... , semua ditewas oleh sampean , jadilah ia pangkat kepujian. | Tersangat kasih Yang Maha Mulia , kepada segala hamba dan sahaya , hatinya murah lagi bahagia , tiada memandang harta dunia. | Istimewa kepada segala fakirnya , memohon nugrah atau sebagainya , kembali tidak hampa tangannya , melainkan peroleh segala khasra'nya.* | .	non-nominal	root
1930s	bahagia	verses	TZA 1.188b	mahkota , apabila berangkat kembali bertakhta , seorang daripada bini sang nata , telah beranak laki-laki nyata. | Sepuluh hari bulan sedang bercahaya , daripada Zulhijah bulanbahagia, malam haji yang maha mulia , telah muzahir putera dia. | Puteranya elok tiada terkira , sangatlah suka seri betara , beroleh putera dengan sejahtera , Tengku Ahmad .......	non-nominal	root
1930s	bahagia	verses	TZA 1.326d	... tiadalah pantang , di tepi jambatan berhenti terlintang. | Orang menyambut hadir sedia , akan kedatangan Yang Maha Mulia , berbagai-bagai pakaian dia , kesukaan kembali rajabahagia. | Sekaliannya suka tiada terperi , oleh kembali mahkota negeri , istimewa pula anak isteri , hingga beberapa masa dan hari. | Kiranya berapa lamanya masa , bersuka-sukaan .	non-nominal	root
1930s	bahagia	verses	TZA 1.419a	.. seorang mengganti. | Sungguh demikian hal dan peri , tiada ditegah mahkota negeri , siapa yang masuk ke dalam qasri , sahaja menakuti sekali diri. | Demikianlah selama sultanbahagia, lepas kembali di tanah yang mulia ..., mengajar segala hamba dan sahaya , hingga sampai mangkatnya dia. | Masa tu umur almarhum sultana , lima puluh lima tahun bilangan .	non-nominal	root
1930s	bahagia	verses	TZA 1.837d	pengaduan tak dapat aku tolongkan , gaji hanya mencukupkan makan. | Istimewa pula hamba dan sahaya , sekalian itu jauhlah ia , di mana raja dapat mulia? , hilanglah adat Melayubahagia. | Jika menuntut datang ke mari , tiada patut aku tak beri , istimewa pula segala fakiri , harap padaku sehari-hari. | Tiadalah sampai hemat di hati , memutuskan harap .....	non-nominal	root
1930s	bahagia	verses	TZA 1.906d	keempat menteri , hadir menghadap mahkota negeri. | Pada masa itu peringatan sahaya , dua puluh sembilan bulan bercahaya , daripada Syaaban bulan yang mulia ,hijrat Nabi Rasulbahagia. | Seribu tiga ratus pada hitungan , tiga puluh lapan pula diiringan , hisab yang masyhur mengikut firman , baginda sedang berangan-angan. | Mesyuaratlah ia itu kelima ,...	non-nominal	root
1930s	bahagia	verses	TZA 1.984d	........ diri , di dalam antara pohon terdiri. | Dengan seorang fakir yang dia , wajahnya pucat tiada bercahaya , memikir keadaan kakanda yang mulia , masyghul lakunya muda yangbahagia. | Terhenti dahulu kisah Tengku Muda , alkisah tersebut wazir berida , kasad menghadap usul yang syahda , berjalanlah ia lena tiada. | Hingga sampai ke Kolam sana ,........	non-nominal	root
1930s	bahagia	verses	TZA 1.1152a	"melihat tertib terlalu indah. | Seru betara kali ketiga , ""Tengku Hitam Umar raja yang baka , titah dipanggil seri paduka , hadir segera janganlah leka!"" | Seketika hadir mudabahagia, dikurnia nama Tengku Seri Setia , hendaklah panggil miskin dan kaya , hingga berkekalan seumur dunia. | Menyeru betara kali keempat , ""Tengku Ali muda yang hebat , titah ."	non-nominal	root
1930s	bahagia	verses	TZA 1.1163d	"sehari dipanggil titah maulana , Engku Wangsa pada rencana. | Setelah nama dijunjung dia , lalu menyembah Yang Maha Mulia , terlalu hebat laku dan gaya , sungguhpun tuasangatbahagia. | Kali kelapan berseru betara , ""Al-Haji Ngah menteri negara , titah dipanggil sultan mengindera , hadirlah tuan dengan segera."" | Setelah hadir muda bestari , Datuk Seri ."	non-nominal	root
1930s	bahagia	verses	TZA 1.1292d	...., sekalian terisi kepada raga , hanya menanti saat ketika. | Adalah bonda Yang Maha Mulia ..., Cik Kalthum namanya dia , dipanggil oleh hamba dan sahaya ,Cik Istana Sitibahagia. | Tengku Ngah Aisyah saudara yang tua , Tengku Nik Maimunah saudara kedua , putera dengan Cik Kalthum jua ..., ketiga bekas sultan sebahwa. | Adalah Tengku Ngah muda .....	non-nominal	root
1930s	bahagia	verses	TZA 1.1334d	. haji yang nyata , kembalilah ia semua serta. | Di negeri Terengganu tempat sedia , menderulah datang hamba dan sahaya , serta kaum kerabat dia , mengu[n]jungi datang ditanahbahagia. | Pada masa itu telah dibenarkan , siapa hendak menghadap telapakan , pintunya tidak ia tutupkan , seperti dahulu beta sebutkan. | Di dalam masa tujuhnya hari , menderu ...	non-nominal	root
1930s	bahagia	verses	TZA 2.667c	.... , janggut, misai putih berseri , hati berani tiada terperi , berani melawan sebuah negeri. | Demikian juga memohon dia , kepada Sultan Duli Yang Mulia , telah dijawab Datuk bahagia , seperti yang telah berkhabar ia. | Habis perkataan sekalian mendengari , Haji Tahir bangkit berdiri , doa selamat ia bacari* , kepada sultan mahkota negeri. | Sekalian ...	non-nominal	root
1930s	bahagia	verses	TZA 2.731b	........, telah diperintah duli telapakan , ketahui sekalian jajahan dan pekan , kemudian daripada tarikh dibuatkan. | Diberi perintah Yang Maha Mulia , kepada Gomisyinar Polisbahagia, Tuan Mills muda belia , mengurniakan kuatkuasa pun ia. | Dengan secukup-cukup kuasa , bagi ikhtiar di dalam desa , kumpulan menderhaka rakyat perkasa , kepada kerajaan ...	non-nominal	root
1930s	bahagia	verses	TZA 2.1003c	., kemudian pula beta bayani , ahli pekerjaan di istana sultani , dengarlah tuan hai ikhwani. | Ketua am di istana sedia , Datuk Amar, Tengku Setia ,Tengku Umar Pahangputerabahagia, iaitu ipar Yang Maha Mulia. | Penghulu istana kuberi nyata , Datu Seri Nara Wangsa Mata-Mata , Datuk Andika anakanda serta , setiausaha bendahari diletak mahkota. |......	non-nominal	root
1930s	bahagia	verses	TZA 2.1038c	"....... warna , seraya berdiri di hadapan singgasana , menyeru-nyeru dengan sederhana. | Demikianlah bunyi seruan dia , ""Ketahui olehmu yang hadir sedia , pada saat yang sangatbahagia, telah memulai Yang Maha Mulia. | Istiadat meletak kerija negeri!"" , maka menjawab segala hadiri , daripada sekalian jemaah menteri , ""Selamat sempurna Tuhan memberi!"" |.."	non-nominal	root
1930s	bahagia	verses	TZA 2.1092c	.. bangkit tiadalah lena , dipimpin oleh kerabat sultana , lalai menilik segala betina. | Tengku Ali putera Yang Maha Mulia , Tengku Ismail di kiri sedia ,Tengku Muhammad mudabahagia, keduanya ayahanda saudara dia. | Tengku Ahmad usul mengindera , dipimpin oleh kedua putera , iaitu kedua putera saudara , belas menentang tiada terkira. | Tengku Embong ..	non-nominal	root
1930s	bahagia	verses	TZA 2.1097c	. keluar putera sa`adah , dengan pakaian terlalu indah , menentang dia keluarlah lidah. | Di singgahsana semayamlah dia , menghadap Quran Yang Maha Mulia ,wajahnyaelokputerabahagia, dipanah api bercahaya-cahaya. | Maka tampillah segala gurunya , daripada ahli qari semuanya , dengan tertib adat dianya , akan mengajar kedua puteranya. | Daripada .......	non-nominal	root
1930s	bahagia	verses	TZA 2.1137d	... lagi memangku puan , berjalan dahulu dua sekawan. | Menyangkut tetampan kedua sebaya , berbaju merah dipakai dia , tanda kebesaran Yang Maha Mulia , di belakang baharu mudabahagia. | Hamba tiada memanjangkan madah ..., setelah turun putera sa`adah , nobat dipalu bunyi tak sudah , berebana biduan tersangat indah. | Kedua semayam di singgahsana ,.....	non-nominal	root
1930s	bahagia	verses	TZA 2.1351d	....... putera paduka , dengan pakaian berbagai nika. | Delapan orang perempuan mulia , memakai tetampan bercahaya-cahaya , menatang ceper bertatah mutia , membawa mahar puteribahagia. | Lapan lagi muda bestari , memyelampai wali di bahu sendiri , membawa payung kebesaran negeri , kuning, putih konon khabari. | Beberapa ceper mengiringi pula , dengan ....	non-nominal	root
1530s	gembira	prose texts	Rama 246:6	"... tahu."" Maka titah Bali Raja, ""Pergi lihati seorang."" Maka abentara itu pun pergi seorang melihat ke pintu. Serta datang ke pintu maka dilihatnya seekor kerbau jantan terlalu gembira sekali lakunya, tiada membilang manusyia lagi sigung-sigung pintu Bali Raja itu. Maka abentara itu pun segera kembali maka dipersembahkannya segala yang dilihatnya itu. ...."	non-nominal	root
1600s	gembira	prose texts	TS.K 221:30	..... ini fi'l akhir , Dan Bukhari dengan Taj itu fakir ; Seribu syukur kepada Tuhannya , Yang menganugerahkan pertolonganNya ; Pada Bukhari yang Taj itu ada , Bahawa pada Raja gembira itu pada ; Menjadi hakim kerajaan erti , Dan nyatalah raja yang baik pekerti ; Sedang ada mahkota di kepalanya , Dan erti pun hendaklah dinyawanya ; Isi perbendaharaannya ..	non-nominal	root
1600s	gembira	prose texts	TS.R 227:21	-Salatin ini fi alakhir , dan Bukhari dengan Taj itu fakhir | Seribu syukur kepada Tuhannya , yang menganugerahkan tolongannya | Pada Bukhari yang Taj itu ada , bahwa pada raja gembira itu pada | Menjadi hakim kerajaan arti , dan nyatalah raja yang baik pekerti | Sedang ada makota di kepalanya , dan arti pun hiduplah di nyawanya | Isi perbendaharaannya ...	duplicate	root
1620s	gembira	prose texts	Kutai 235:11	.......... diadakan oléh orang apa-apa yang hendak dimakannya sudah itu maka sampailah kepada bulannya maka berputeralah Déwa Aji Raja Puteri maka dinamainya anakanda itu Seri Gambira kira-kira sedang lamanya maka tersebut perkataan Raja Mandarsah kira-kira sampailah `umurnya empat belas tahun maka mamanda Maharaja Sultan pun sudah tua tiada berapa ......	proper name	root
1620s	gembira	prose texts	Kutai 236:22	segala bigu berahmana dan déwa yang empat puluh itu mengaulkan selamat sempurnanya laki isteri beranak bercucu sudah itu selang berapa lamanya maka tersebutlah perkataan Seri Gambira itu pun sudah beristeri maka diperbuat oléh segala orang besar-besar seperti babundanya déwa Aji Raja Puteri demikian dibuatnya oléh segala menteri penggawanya kemudian ....	proper name	root
1620s	gembira	prose texts	Kutai 236:27	... seperti babundanya déwa Aji Raja Puteri demikian dibuatnya oléh segala menteri penggawanya kemudian selesailah pekerjaan beristeri itu maka dikaulkan selamat sempurna Seri Gambira dengan isterinya sudah itu maka tersebutlah perkataan Raja Mandarsah sudah beristeri itu kira-kira sedang lamanya maka mengidamlah permaisuri maka banyaklah yang hendak ....	proper name	root
1620s	gembira	prose texts	Kutai 237:10	. raja-raja yang besar demikianlah langkap dengan inang pengasuhnya serta biti-biti perwaranya dan dayang-dayangnya kecil-kecil semuanya sudah itu maka tersebutlah isteri Seri Gambira mengidam jua maka ia pun demikian jua diperbuatnya seperti `adat jua kira-kira sedang lamanya sampai kepada ketika yang baik maka ia pun beranak seorang laki-laki maka .....	proper name	root
1620s	gembira	prose texts	Kutai 238:6	... puluh itu mengaulkan selamat sempurna tetaplah dalam negerinya itu. Setelah demikian maka tersebutlah Permata `Alam beristeri pun demikian jua betapa `adat ayahandanya Seri Gambira jua demikianlah dikerjakan orang tiada berlainan orang mengadatinya maka dikaulkan dengan selamat sempurnanya sudah itu maka tersebutlah perkataan Pangéran Tumenggung ......	proper name	root
1620s	gembira	prose texts	Kutai 259:4	. pihak saudaranya yang tua* yang bernama Aji di Makam adapun pihak dari pada saudaranya yang muda* yang nama Aji Radén Wijaya beristerikan anak Permata `Alam cucunya oléh Seri Gambira buyut oléh Aji di Tunjung dengan Déwa Puteri beranak seorang laki-laki bernama Wadu Aji maka Wadu Aji beristerikan saudara Rangga Tua beranak seorang bernama Tuan Kuca. ....	proper name	root
1650s	gembira	prose texts	Pel 43:1	". atas pusu jentaka itu raja singa datang dengan segala bala tenteranya, maka tengadah ke langit syeraya tunduk, katanya: ""Jamu kita datang."" Maka segala isi rimba itu pun terlalu gembira masying-masing dengan kawannya, seperti hendak menanti lawan rupanya; gemuruh didengar raja singa bunyi bahana segala binatang isi rimba itu. Maka raja singa pun hampirlah."	Non-nominal	root
1700s	gembira	prose texts	Tuah 145:24	"... ditutup oranglah ketujuh lapis itu pun, sunyi seorang pun tiada lagi tinggal habis lari. Maka dilihat oleh Tun Tuah kelakuan Ratu Majapahit itu; maka Tun Tuah pun datanglah gembira rasanya. Maka Tun Tuah pun memekis, katanya, ""Ceh! Manatah Patih Gajah Mada? Dikata orang berani maka orang mengamuk seorang ini pergi membawa dirinya!"" Maka Tun Tuah pun .."	non-nominal	root
1750s	gembira	prose texts	Anb 123:21	"....... Setelah itu maka tatkala Allah Subhanahu wa Taala hendak menjadikan langit dan bumi, maka ditilik Tuhan seru sekalian alam akan mutia yang putih itu, mutia itu pun hebatgemira ia oleh menyanjung tilik rabbul `izzati itu."" Wa bihi nasta`inu bi'Llah `ala. Ini hikayat peri menyatakan Nur Muhammad Rasulullah salla'Llahu `alaihi wasallam. Bermula maka ."	non-nominal	root
1750s	gembira	prose texts	Anb 127:11	"..... siapa engkau?"" Maka sahut Nur Muhammad: ""Engkau seorang hamba Allah, aku pun seorang hamba Allah juga yang amat hina."" Maka kata Nur Muhammad: ""Hai api mengapa maka engkaugembira amat membesar-besarkan dirimu terlalu sangat."" Maka kata api: ""Barang kehendakku aku pun perlakukan."" Maka kata Nur Muhammad: ""Hai api yang hamba itu tiadalah boleh ........"	non-nominal	root
1750s	gembira	prose texts	Anb 128:5	". siapa engkau?"" Maka kata Nur Muhammad: ""Engkau pun seorang hamba Allah, aku pun seorang hamba Allah yang hina."" Maka kata Nur Muhammad itu: ""Hai air, mengapa maka engkau sangat gembira serta membesar-besarkan dirimu itu terlalu sangat?"" Maka sahut air: ""Barang sekehendakku hati hamba."" Maka kata Nur Muhammad: ""Hai air lihatlah dirimu itu, adakah .........."	non-nominal	root
1780s	gembira	prose texts	Misa 168:12	....... tentu , Bongkarlah pula kenaikan ratu , Belayar melalui Cucuran Hantu. | Dengan daulat duli baginda , Laut yang keras menjadi reda , Seperti khabar orang berida , Harus gembira haram tiada. | Antara laut Pantai Remis , Pasirnya bagai santan diramas , Gelombang dan bakat habislah kemas , Sebuah pun tidak mara dan cemas. | Turunlah angin alang ......	non-nominal	root
1800s	gembira	prose texts	Bik 116:5	............ demikian. Maka ia pun segeralah mengaturkan lancang pilangnya berkeliling mengadap bahtera baginda serta memalu genderang peperangan. Terlalu azamat bunyinya memberigembira(h) hati segala yang berani dan memberi dahsyat hati segala yang penakut. Syahadan maka kedua pihak tenteranya itu pun berhadapanlah lalu berperang terlalu gegak gempita ....	nominal	root
1810s	gembira	prose texts	PNB 70:8	. baginda: Adakah sungguh batiar perbuat yang demikian itu? Maka kata meréka itu: Demikianlah `adat batiar itu daripada masa dahulu diperbuat oléh batiar itu. Maka sangatlah murka gemira* baginda, wajahnya seperti bunga raya yang kembang seraya berkata: Hai mata-mata pergilah panggil polis bawak ke mari. Maka pergilah meréka itu memanggil polis maka polis ...	non-nominal	root
1820s	gembira	prose texts	MW 9:20	"sebal hatinya melihatkan kelakuan burung geroda itu hendak membinasakan ia sekalian itu. Lalu ia segera naik ke atas beranda itu serta memegang panahnya yang bernama Pusar Sempani Gembira, anak panah itu menyala-nyala api hujungnya. Katanya, ""Hai Pusar Sempani Gembira, pergilah engkau lawan burung geroda itu."" Maka segeralah ditariknya busur panah itu lalu .."	proper name	root
1820s	gembira	prose texts	MW 9:22	"... itu. Lalu ia segera naik ke atas beranda itu serta memegang panahnya yang bernama Pusar Sempani Gembira, anak panah itu menyala-nyala api hujungnya. Katanya, ""Hai Pusar Sempani Gembira, pergilah engkau lawan burung geroda itu."" Maka segeralah ditariknya busur panah itu lalu dibubuh panah, dipanahkan naik ke udara, bergemuruh bunyinya seperti taufan. ......"	proper name	root
1820s	gembira	prose texts	MW 9:28	.. Seketika keluarlah kelam-kabut, datanglah hantu syaitan di dalam kelam-kabut itu, menyakiti burung geroda itu. Maka burung geroda pun sudah diketahuinya anak panah Pusar Sempani Gembira namanya. Maka segera dikiraikan oleh burung geroda dengan sayapnya serta menerkam datangnya itu menyambar tiga buah kapal dan keci dengan mulutnya dan kukunya, diterbangkan	proper name	root
1840s	gembira	prose texts	Mar 123a	sujud di kaki seri baginda keduanya. Setelah sudah itu, maka keduanya kanak-kanak itu pun berjalan keluar istana dengan merah padam warna mukanya kedua kanak-kanak sebab menahanigembira hatinya hendak bertemu dengan raja Syah Gentar Alam, demikian adanya. Setelah sampai di luar, maka ia pun segera mencari gendaraannya, lalu ia berjalan dengan kawan-........	nominal	root
1860s	gembira	prose texts	M&B 34:13	, marah berangnya sudah terpendam , tiadalah dapat lagi dipadam , demikian halnya anak Adam. | Kata setengah pula cetera , datanglah fitnah dari Bendahara , memanggil Raja Kecil gembira, melanggar Johor dengan segera. | Datanglah ia dengan memberang , ke negeri Johor hendak berperang , serta kelengkapan askar dan orang , sampai ke Johor lalulah menyerang.	Non-nominal	root
1860s	gembira	prose texts	M&B 117:19	"...., sebab lambat ketentuan jasa. | Upu muafakat adik-beradik , ""Baik kita bicara pendek , esok hari kita nan mudik , jika tak alah kita bertindik."" | Segala juak-juak bangkit gembira, ia pun bangkit berdiri segera , mencabut keris ke hadapan mara , mengaruk di hadapan upu mengindera. | ""Iti puang Yamtuan Muda , yakni lipak macami ayahanda , jika patik ."	non-nominal	root
1870s	gembira	prose texts	INata 108:2	. serta ada ribu dan laksa ; Kedua bijaksana sekalian ilmu , supaya mudah sekalian yang kita mahu ; Ketiga dermawan , supaya mendapat banyak kawan ; Keempat paras elok , supaya gembira hati memeluk. | Maka tersebutlah perkataannya baginda Raja Rom hendak mengarak Indera Nata dan tuan puteri yang ketujuh orang itu kerana sungguh Indera Nata itu sudah ......	non-nominal	root
1950s	gembira	prose texts	Sikka 17	.... baik sekali untuk dibuatnya rumah dan kampung. Tempat ini kemudian diperkampungi orang (tahun manakah tiada diturunkan dalam hikayat) dinamainya Nata Gahar. Maka denganrianggembira kedua beranak memandang kesana kemari berpikir dalam hatinya: Inilah tempat yang baik akan mendirikan rumah sebab sebelah-menyebelah bertebing, atasnya baik diperkampungi ..	non-nominal	root
